date,open,high,low,close,volume,adjusted_close,change_percent,avg_vol_20d
2011-10-21,123.09,124.12,122.72,123.97,278999406,98.9938,1.9,277944023.4
2011-10-24,124.17,125.8,124.06,125.49,203215594,100.2075,1.23,275071123.4
2011-10-25,124.89,124.95,122.78,123.049,268596719,98.2583,-1.95,272913270.3
2011-10-26,124.35,124.77,122.21,124.3,289053781,99.2573,1.02,273031123.4
2011-10-27,127.63,129.42,124.3187,128.63,393288906,102.7149,3.48,277790128.1
2011-10-28,128.0,128.85,127.8,128.6,225906500,102.691,-0.02,274651178.1
2011-10-31,127.16,128.6239,125.32,125.5,228146594,100.2155,-2.41,267801667.2
2011-11-01,122.03,123.51,121.52,122.002,416565688,97.4223,-2.79,265671076.6
2011-11-02,123.83,124.4,122.7905,123.99,245529406,99.0097,1.63,263742146.9
2011-11-03,125.27,126.5,123.595,126.25,291174781,100.8144,1.82,265410850.8
2011-11-04,125.23,125.7,124.01,125.481,249401500,100.2004,-0.61,262248032.05
2011-11-07,125.39,126.39,124.2,126.26,196617203,100.8224,0.62,260545582.05
2011-11-08,126.92,128.02,125.71,127.88,224426203,102.116,1.28,261312492.2
2011-11-09,124.89,125.8,122.86,123.161,337982031,98.3478,-3.69,264134353.15
2011-11-10,124.79,124.94,123.02,124.32,231866500,99.2733,0.94,265100738.3
2011-11-11,125.83,126.99,125.79,126.66,189924297,101.1418,1.88,264027073.45
2011-11-14,126.19,127.45,124.92,125.46,159258203,100.1836,-0.95,261874403.9
2011-11-15,125.17,126.75,124.72,126.083,184709406,100.6811,0.5,255166980.45
2011-11-16,124.81,126.34,123.9,124.08,235782500,99.0816,-1.59,255626040.6
2011-11-17,123.85,124.16,121.23,122.105,331219812,97.5045,-1.59,259083251.5
2011-11-18,122.5,122.75,121.47,121.979,215580406,97.4039,-0.1,255912301.5
2011-11-21,120.2,120.35,118.65,119.661,229611594,95.5529,-1.9,257232101.5
2011-11-22,119.4,120.1,118.52,119.19,216494797,95.1768,-0.39,254627005.4
2011-11-23,118.07,119.19,116.56,116.56,224531703,93.0767,-2.21,251400901.5
2011-11-25,116.38,117.7,116.2,116.34,99556977,92.901,-0.19,236714305.05
2011-11-28,119.54,120.18,118.82,119.71,210686000,95.592,2.9,235953280.05
2011-11-29,120.05,121.0,119.61,120.05,199241500,95.8635,0.28,234508025.35
2011-11-30,123.49,125.22,119.9971,124.99,324439500,99.8083,4.12,229901715.95
2011-12-01,124.85,125.64,124.43,124.97,176954797,99.7923,-0.02,226472985.5
2011-12-02,126.12,126.5,124.78,124.86,221109703,99.7045,-0.09,222969731.6
2011-12-05,126.84,127.18,125.44,126.22,225263812,100.7905,1.09,221762847.2
2011-12-06,126.21,127.11,125.76,126.26,178842000,100.8224,0.03,220874087.05
2011-12-07,125.84,127.26,124.97,126.73,237802500,101.1977,0.37,221542901.9
2011-12-08,125.9,126.18,123.65,123.95,240862703,98.9778,-2.19,216686935.5
2011-12-09,124.51,126.37,124.4,126.05,209111297,100.6547,1.69,215549175.35
2011-12-12,124.95,124.97,123.16,124.21,215826094,99.1854,-1.46,216844265.2
2011-12-13,124.86,125.57,122.45,123.05,245159703,98.2591,-0.93,221139340.2
2011-12-14,122.56,123.03,121.47,121.74,238618797,97.2131,-1.06,223834809.75
2011-12-15,123.03,123.2,121.99,122.185,199109109,97.5684,0.37,222001140.2
2011-12-16,122.23,122.95,121.3,121.59,220481297,97.7091,0.14,216464214.45
2011-12-19,122.06,122.32,120.03,120.29,183903016,96.6645,-1.07,214880344.95
2011-12-20,122.18,124.14,120.3702,123.93,225418094,99.5895,3.03,214670669.95
2011-12-21,123.93,124.36,122.75,124.17,194230891,99.7824,0.19,213557474.65
2011-12-22,124.63,125.4,124.2324,125.27,119465297,100.6664,0.89,208304154.35
2011-12-23,125.67,126.43,125.41,126.39,92187156,101.5664,0.89,207935663.3
2011-12-27,126.17,126.82,126.06,126.49,86075695,101.6467,0.08,201705148.05
2011-12-28,126.51,126.53,124.73,124.83,119107000,100.3128,-1.31,197698423.05
2011-12-29,125.24,126.25,124.8566,126.12,123507102,101.3494,1.03,187651803.15
2011-12-30,126.02,126.33,125.5,125.5,95599000,100.8512,-0.49,183584013.3
2012-01-03,127.76,128.38,127.43,127.495,193697797,102.4544,1.59,182213418.0
2012-01-04,127.2,127.81,126.71,127.7,127186492,102.6191,0.16,177309552.0
2012-01-05,127.01,128.23,126.43,128.04,173894891,102.8923,0.27,177062196.55
2012-01-06,128.2,128.22,127.29,127.71,148049906,102.6271,-0.26,172574566.85
2012-01-09,128.0,128.18,127.41,128.02,99530109,102.8762,0.24,165507937.15
2012-01-10,129.39,129.65,128.95,129.13,115281906,103.7682,0.87,160816467.6
2012-01-11,128.73,129.37,128.52,129.2,111540703,103.8245,0.05,155602198.05
2012-01-12,129.57,129.7,128.54,129.51,118983602,104.0736,0.24,149293393.0
2012-01-13,128.64,129.05,127.72,128.84,179836094,103.5352,-0.52,146354257.85
2012-01-17,130.08,130.32,128.8957,129.34,132209203,103.937,0.39,143009262.55
2012-01-18,129.31,130.84,129.08,130.77,163395109,105.0861,1.11,140154953.15
2012-01-19,131.22,131.57,130.8,131.46,126328797,105.6406,0.53,137276242.2
2012-01-20,131.24,131.95,130.92,131.54,138230094,105.7049,0.06,132916842.2
2012-01-23,131.51,132.25,130.98,131.61,129295797,105.7612,0.05,129670087.5
2012-01-24,130.8,131.5,130.6,131.46,103083297,105.6406,-0.11,128850987.5
2012-01-25,131.26,132.87,130.75,132.56,198613203,106.5246,0.84,134172289.85
2012-01-26,133.15,133.4,131.36,131.88,184880500,105.9781,-0.51,139112530.1
2012-01-27,131.24,132.05,131.15,131.82,135259016,105.9299,-0.05,139920130.9
2012-01-30,130.51,131.44,130.06,131.37,147311703,105.5683,-0.34,141110360.95
2012-01-31,132.02,132.18,130.68,131.32,157211906,105.5281,-0.04,144191006.25
2012-02-01,132.29,133.14,132.13,132.47,166234500,106.4522,0.88,142817841.4
2012-02-02,132.73,133.02,132.21,132.68,113090305,106.621,0.16,142113032.05
2012-02-03,134.0,134.62,133.77,134.54,160598500,108.1157,1.4,141448212.5
2012-02-06,133.98,134.5134,133.83,134.45,107694492,108.0434,-0.07,139430441.8
2012-02-07,134.17,135.02,133.64,134.79,135528094,108.3166,0.25,141230341.05
2012-02-08,134.86,135.22,134.31,135.19,139361406,108.638,0.3,142434316.05
2012-02-09,135.41,135.59,134.56,135.36,148602797,108.7746,0.13,144287420.75
2012-02-10,134.16,134.47,133.84,134.361,167907500,107.9718,-0.74,146733615.65
2012-02-13,135.32,135.52,134.74,135.36,115841797,108.7746,0.74,143533900.8
2012-02-14,135.0,135.27,134.25,135.19,165996188,108.638,-0.13,145223250.05
2012-02-15,135.63,135.83,134.29,134.56,195195109,108.1318,-0.47,146813250.05
2012-02-16,134.57,136.17,134.33,136.049,186567703,109.3283,1.11,149825195.35
2012-02-17,136.52,136.6275,135.96,136.41,129869398,109.6184,0.27,149407160.55
2012-02-21,136.73,137.05,136.05,136.47,134042297,109.6666,0.04,149644485.55
2012-02-22,136.26,136.55,135.79,136.032,124455203,109.3147,-0.32,150713080.85
2012-02-23,135.96,136.73,135.5,136.631,137704188,109.796,0.44,147667630.1
2012-02-24,136.93,137.2,136.63,136.93,105539102,110.0363,0.22,143700560.2
2012-02-27,136.02,137.53,135.8,137.16,145728797,110.2211,0.17,144224049.25
2012-02-28,137.2,137.72,136.93,137.559,129355797,110.5417,0.29,143326253.95
2012-02-29,137.76,138.19,136.54,137.02,185934703,110.1086,-0.39,144762393.8
2012-03-01,137.31,137.99,136.9312,137.73,145026094,110.6792,0.52,143701973.5
2012-03-02,137.64,137.82,137.0,137.312,120638203,110.3433,-0.3,144079368.4
2012-03-05,137.1,137.2,136.28,136.75,140764984,109.8916,-0.41,143087692.6
