date,splg,spy,open,high,low,close,volume,change_percent,4 WEEKS BANK DISCOUNT,4 WEEKS COUPON EQUIVALENT,8 WEEKS BANK DISCOUNT,8 WEEKS COUPON EQUIVALENT,LT COMPOSITE (>10 Yrs),LT Real Average (10> Yrs),ema_20,ema_50,rsi_14,macd,signal_line,macd_value,plus_di,minus_di,adx
2020-02-28,32.738899,279.3183,2916.8999,2959.72,2855.8401,2954.22,8563850000,-0.82,1.43,1.45,1.35,1.37,1.56,0.09,3229.2660860653823,3237.191850947699,14.165357651778876,-56.259868615532014,-7.77763777531999,-48.482230840212026,18.208937812864583,25.52433237334139,75.60834306294986
2020-03-02,34.196686,291.4146,2974.28,3090.96,2945.1899,3090.23,6376400000,4.6,1.4,1.42,1.27,1.29,1.56,0.07,3216.0245540591554,3231.4286411066128,29.30809278783086,-59.68018760383893,-18.15814774102378,-41.52203986281515,16.921556315937263,25.6669834346827,69.8156703164288
2020-03-03,33.218555,283.0707,3096.46,3136.72,2976.6299,3003.3701,6355940000,-2.81,1.1,1.12,1.05,1.07,1.54,0.01,3195.7717489106644,3222.4851689063535,25.182079604773236,-68.6088034766849,-28.248278888156005,-40.36052458852889,15.837009848854844,25.4734353296383,65.34541524961621
2020-03-04,34.629314,294.9691,3045.75,3130.97,3034.3799,3130.1201,5035480000,4.22,1.0,1.01,0.89,0.9,1.56,0.0,3189.5192109191726,3218.8630093413985,34.77857466156996,-64.71117997561942,-35.54085910564869,-29.170320869970723,15.108898200298881,26.12780744942118,61.186458275853525
2020-03-05,33.453682,285.1638,3075.7,3083.04,2999.8301,3023.9399,5575550000,-3.39,0.91,0.92,0.82,0.83,1.45,-0.05,3173.7497527363944,3211.2189658378147,30.971638172329122,-69.39025238959175,-42.310737762437306,-27.079514627154445,14.449303168612262,26.79659184933557,57.3788231620975
2020-03-06,32.908192,280.4497,2954.2,2985.9299,2901.54,2972.3701,6552140000,-1.71,0.78,0.79,0.64,0.65,1.18,-0.24,3154.570738190071,3201.852343648097,28.87164290090169,-76.37925040749542,-49.124440291448934,-27.254810116046485,13.999232330886358,28.408666596378218,53.525204732391984
2020-03-09,30.359426,258.5481,2863.8899,2863.8899,2734.4299,2746.5601,8423050000,-7.6,0.56,0.57,0.53,0.54,0.97,-0.2,3115.712582171969,3183.9977458579756,23.592468121747757,-98.99787563055406,-59.09912735926996,-39.898748271284106,12.89220259863767,27.914749242615834,49.46301599729187
2020-03-10,31.901854,271.9267,2813.48,2882.5901,2734.0,2882.23,7635960000,4.94,0.56,0.57,0.55,0.56,1.27,0.08,3093.4761457746386,3172.1637166086434,30.630082864915565,-104.76816974399844,-68.23293583621566,-36.53523390778278,12.390718735316412,29.467376212790963,45.94553406101277
2020-03-11,30.350025,258.6707,2825.6001,2825.6001,2707.22,2741.3799,7374110000,-4.89,0.41,0.42,0.42,0.43,1.27,0.18,3059.9431699865777,3155.2702336043826,27.88738987529939,-119.33102160217868,-78.45255298940828,-40.878468612770405,11.772306421345336,29.956697522103482,42.938859886136385
2020-03-12,27.396843,233.9218,2630.8601,2660.95,2478.8601,2480.6399,8829380000,-9.51,0.4,0.41,0.33,0.33,1.41,0.37,3004.771429987856,3128.8141420904853,24.08930779211883,-150.18053776910392,-92.7981499453474,-57.38238782375652,10.89177530995836,29.69080601727464,39.67808435392872
2020-03-13,29.964417,253.9189,2569.99,2711.3301,2492.3701,2711.02,8258670000,9.29,0.33,0.33,0.3,0.3,1.46,0.43,2976.795103322346,3112.430058086937,35.47608367190131,-154.2610277828585,-105.09072551284963,-49.17030227000886,10.43171772357376,29.5049735439482,37.89397035139209
